ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y,scale_x,scale_y,det,det_dev,scale_dev,rotation_deg,nonortho,translation_mag,outcome,n_dirs,n_events
4,FTS,IMG,11033,30,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event11033\PL030,1.0003209933955544,0.0045383374949337,-0.004737358768448,1.0003782335743865,-151511.99438685417,-86424.02900493056,200,0.5,0.156,210,70,-74809.35439604204,-46961.01207756311,2152.75,-74760.71326883268,-47019.12056026202,2152.75,-0.2328,0.2755,76546.3,39752.5,1.0003322110159054,1.0003885278813567,1.000720848113346,0.0007208481133460509,0.0003885278813566817,-0.2713415354270908,-0.00019921271922316628,174427.62749211263,OK,1,1
4,FTS,IMG,5130,30,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event05130\PL030,1.000388112889384,0.0043828998514312,-0.0045942533603425,1.0003415206840995,-31898.971287303968,-87098.61169496982,200,0.5,0.156,210,70,-6254.661947593774,-64309.04902116741,2187.25,-6398.345800764994,-64329.64884300891,2187.25,0.6835,0.1012,25390.5,22877.8,1.0003986623213377,1.00035112226442,1.0007499022744333,0.0007499022744332784,0.00039866232133767276,-0.26312735388173764,-0.00021106320005814612,92756.19940672093,OK,1,1
4,FTS,IMG,3852,30,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event03852\PL030,1.000402156510259,0.0072247205125678,-0.007373187231605,1.000356515814543,-32141.13377612592,-165042.45718181424,200,0.5,0.156,210,70,23597.094776960497,-119737.15624638254,2197.75,23560.193632916893,-119831.40199076963,2197.75,0.1724,0.4499,55349.6,45602.9,1.0004293271592597,1.0003826044664597,1.000812084916993,0.0008120849169930278,0.0004293271592596959,-0.4222750402897985,-0.0001480696617364583,168142.99019889534,OK,1,1
4,FTS,IMG,1115,32,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01115\PL032,1.0003628382195109,-0.0121399599886106,0.0119776861272214,1.0003349193020548,-139158.57067446382,-243688.88632208228,200,0.5,0.156,210,70,-28675.602014394808,-198860.92958867256,2198.25,-28758.957503861937,-198884.6605452468,2198.25,0.3981,0.1082,110887.0,43461.5,1.0004345421143543,1.000408581232475,1.0008432876734294,0.0008432876734294492,0.00043454211435434154,0.6859891683486189,-0.00016253008281453236,280623.2013021313,OK,1,1
4,FTS,IMG,11033,32,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event11033\PL032,1.0004193048551753,-0.0056412590971657,0.0053730546027916,1.000404002934451,-71763.68819830038,-13220.106558450643,200,0.5,0.156,210,70,6046.553925517087,26702.36831998012,-371.5,6095.308795607576,26644.182800028728,-371.5,-0.2305,0.2782,78048.7,39429.0,1.0004337335589384,1.0004199082842535,1.0008537879831758,0.0008537879831758133,0.0004337335589383873,0.30772136275968653,-0.00026817020172967016,72971.21460712895,OK,1,1
4,FTS,IMG,1115,34,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01115\PL034,1.0002449242266276,0.0127568406080491,-0.0133476972663131,1.000200341820359,-78575.05648559413,-190148.68734032905,200,0.5,0.156,210,70,30345.240511020183,-147548.93553868862,-364.25,30261.914212907723,-147572.44471741,-364.25,0.3952,0.1172,108249.0,44012.3,1.0003339789607495,1.0002816907051044,1.000615589562063,0.0006155895620629792,0.0003339789607494925,-0.7645340765427088,-0.0005900429738407365,205743.92530270372,OK,1,1
4,FTS,IMG,9955,34,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event09955\PL034,1.0003418856727226,0.0085510216364397,-0.0092859062571116,1.0003659080761085,-78496.93071354007,-110958.20381364436,200,0.5,0.156,210,70,37111.25802410148,-76803.70835677678,-342.25,37135.44858205777,-76819.81598060176,-342.25,-0.1158,0.0756,115292.0,35196.1,1.0003849840367829,1.0004024540213623,1.0007873228328783,0.0007873228328783011,0.00040245402136229735,-0.531846125806087,-0.0007347802292182113,135917.22159092478,OK,1,1
4,FTS,IMG,1966,34,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01966\PL034,1.0003607152389775,0.0038926479751902,-0.004715207356271,1.0002264710124804,41524.20628693182,-35437.23681159051,200,0.5,0.156,210,70,75016.22089807612,-10726.81692164638,-343.25,75019.60343836017,-10759.13877243934,-343.25,-0.0167,0.1538,33386.7,24829.9,1.0003718277589846,1.0002340456224927,1.0006056225853712,0.0006056225853712238,0.00037182775898458864,-0.27006206482845546,-0.0008217251685033648,54589.902551666215,OK,2,2
4,FTS,IMG,10781,34,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event10781\PL034,1.0004052408176898,0.0040380666865444,-0.0047826639507516,1.0002341042392924,-78023.0248987699,-34783.09527411448,200,0.5,0.156,210,70,-5507.660383656528,3997.429471517064,-366.75,-5512.484982547307,3978.4595248220576,-382.25000000000006,0.0226,0.09042,72323.35,39098.3,1.0004166730567647,1.0002422552891599,1.000658752641548,0.0006587526415480216,0.0004166730567647381,-0.27391337070114724,-0.0007435904687706554,85425.14928990287,OK,1,1
4,FTS,IMG,5210,34,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event05210\PL034,1.00042418298029,0.0127483145064262,-0.0137225562167172,1.000182706915887,41195.94457670824,-111325.47688715089,200,0.5,0.156,210,70,61287.72863246586,-85380.09508053696,-338.0,61283.15374377544,-85420.8499180069,-338.0,0.0193,0.1943,19745.2,26170.8,1.0005182929066823,1.0002639485337588,1.000781906859824,0.0007819068598240442,0.0005182929066822606,-0.7858619013229737,-0.0009705819359845794,118703.2756654962,OK,1,1
