metric,rule,cut,accuracy,precision,recall,tp,fp,fn,tn
scale_x,scale_x > 1.00065  =>  FAIL,1.0006512830993,0.9420289855072463,0.896551724137931,0.5306122448979592,52,6,46,793
scale_y,scale_y > 1.0013  =>  FAIL,1.0013031085992967,0.9331103678929766,0.8958333333333334,0.4387755102040816,43,5,55,794
scale_dev,scale_dev > 0.00311137  =>  FAIL,0.0031113665803961243,0.9821627647714605,0.91,0.9285714285714286,91,9,7,790
det,det > 1.0013  =>  FAIL,1.0013033053688578,0.9331103678929766,0.88,0.4489795918367347,44,6,54,793
det_dev,det_dev > 0.00252129  =>  FAIL,0.0025212934703301437,0.9843924191750278,0.9117647058823529,0.9489795918367347,93,9,5,790
rotation_deg,rotation_deg > 1.14762  =>  FAIL,1.1476198319457707,0.9130434782608695,1.0,0.20408163265306123,20,0,78,799
nonortho,nonortho > 1.43118e-05  =>  FAIL,1.4311786386180938e-05,0.939799331103679,0.9782608695652174,0.45918367346938777,45,1,53,798
translation_mag,translation_mag > 334653  =>  FAIL,334652.71023741434,0.8907469342251951,,0.0,0,0,98,799
