ecc,scan_type,category,event,pl,det_dev,actual_judgment,agrees_with_human,source_dir
4,UTS,IMG,10478,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10478\PL025
4,UTS,IMG,10544,25,0.049503423056275864,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10544\PL025
4,UTS,IMG,623,26,0.22873908764746265,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event00623\PL026
4,UTS,IMG,1124,26,0.07115724441920324,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01124\PL026
4,UTS,IMG,3196,26,0.22873908764746265,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event03196\PL026
4,UTS,IMG,4196,26,0.020545313975356194,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event04196\PL026
4,UTS,IMG,5488,26,0.011895875765212782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event05488\PL026
4,UTS,IMG,6295,26,0.07115724441920324,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06295\PL026
4,UTS,IMG,6738,26,0.011895875765212782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06738\PL026
4,UTS,IMG,6983,26,0.08199880676262561,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06983\PL026
4,UTS,IMG,8023,26,0.08199880676262561,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event08023\PL026
4,UTS,IMG,10478,26,0.08199880676262561,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10478\PL026
4,UTS,IMG,10544,26,0.011895875765212782,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10544\PL026
4,UTS,IMG,5130,29,0.030598175687054585,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event05130\PL029
4,UTS,IMG,9955,33,0.05398280467959271,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event09955\PL033
4,UTS,IMG,9955,35,0.007473735894358735,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event09955\PL035_chk
4,UTS,IMG,2069,41,0.20405573428543278,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event02069\PL041
4,UTS,IMG,7224,41,0.20405573428543278,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event07224\PL041
4,UTS,IMG,10856,44,0.027329955744900936,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10856\PL044_chk
4,UTS,IMG,10856,45,0.07220122485976366,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10856\PL045
4,UTS,IMG,5414,48,0.014249254135602962,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event05414\PL048
4,UTS,IMG,1751,53,0.08927853226999272,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01751\PL053
4,UTS,IMG,9693,54,0.0025212934703301437,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\IMG\Event09693\PL054
4,UTS,IMG,3542,56,0.013421576477486319,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\IMG\Event03542\PL056
4,UTS,IMG,3679,56,0.013421576477486319,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event03679\PL056_chk
4,UTS,IMG,1936,58,0.013611639083448424,j:OK,False,K:\NINJA\E71a\ManualCheck\ScanData\chk_UTS\ECC4_0918\IMG\Event01936\PL058
4,UTS,IMG,1936,59,0.30645543517761586,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01936\PL059
4,UTS,IMG,5851,59,0.05797028170568186,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event05851\PL059
4,UTS,IMG,1936,60,0.14085691050325033,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01936\PL060
4,UTS,IMG,5851,60,0.19146925319544805,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event05851\PL060
