ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y
4,UTS,IMG,4770,112,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event04770\PL112,1.000341182109386,-0.0014000034934990478,0.0011132897786045451,1.000395320758412,-58670.99132172691,-256585.7170648419,200,0.5,0.14,210,70,-10875.45443903506,-178892.92063894286,2003.7500000000002,-10939.13471143636,-178887.59236740443,2003.7500000000002,0.3031,-0.0257,47824.2,77614.2
4,UTS,IMG,4770,113,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event04770\PL113,1.000242580848474,-0.004164095342036109,0.0038974303906699113,1.0003737159927244,-62656.39278509958,-258269.16708296412,200,0.5,0.14,210,70,-14377.691101138746,-178148.3469224432,2008.2499999999998,-14441.360496762734,-178142.83876557712,1991.4999999999998,0.303,-0.0274,48536,79907.3
4,UTS,IMG,6590,110,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06590\PL110,1.0003592139161686,-0.0031256819405143903,0.002767436294661815,1.0004638644684123,-59565.86934574319,-177631.18263427733,200,0.5,0.14,210,70,40533.03575868542,-144219.25838728546,2037.9999999999998,40477.7396368198,-144234.85575503693,2024,0.26345,0.07351,100111.12,33103.92
4,UTS,IMG,6590,112,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06590\PL112,1.0002856697161266,0.010279497389427218,-0.01061527867496768,1.000446319346618,-59788.84204260124,-177500.1612434967,200,0.5,0.14,210,70,35728.01088085091,-145808.90120495844,2030.5,35672.66103835911,-145824.57684635444,2021,0.2627,0.0774,95098.5,32670.5
4,UTS,IMG,6590,113,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06590\PL113,1.000305792191104,0.0018080715768748804,-0.0021347126176672103,1.0003972499201566,-63846.04993898662,-180030.1213522955,200,0.5,0.14,210,70,32305.896853677234,-145295.93551804766,2026.5,32250.72648178586,-145311.5951070431,2026.5,0.2625,0.0751,96004.3,34909.6
4,UTS,IMG,6645,106,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06645\PL106,1.0003644733348303,-0.007300527089052451,0.0068075270725092216,1.0003698249193707,-63659.248271167016,-180122.66324204046,200,0.5,0.14,210,70,50737.13635017268,-154233.0916663609,2041.9999999999998,50725.53562265172,-154272.85625121242,2041.9999999999998,0.0566,0.1889,114526,25060.9
4,UTS,IMG,6645,107,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06645\PL107,1.0003541653461692,-0.006411046132862287,0.00582469277079089,1.0004192642807905,-61898.53543148217,-178268.6429427768,200,0.5,0.14,210,70,49397.467320186806,-155291.88493668096,2046.7499999999998,49386.08392351212,-155331.70135936505,2030.9999999999998,0.0554,0.1892,111388,22278.8
4,UTS,IMG,6746,106,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06746\PL106,1.0003644733348303,-0.007300527089052451,0.0068075270725092216,1.0003698249193707,-63659.248271167016,-180122.66324204046,200,0.5,0.14,210,70,59097.52470650974,-128499.32046125722,2032.75,59129.798700276806,-128523.56139225034,2032.75,-0.15278,0.11643,123114.62,50742.23
4,UTS,IMG,6746,107,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06746\PL107,1.0003541653461692,-0.006411046132862287,0.00582469277079089,1.0004192642807905,-61898.53543148217,-178268.6429427768,200,0.5,0.14,210,70,57800.4419172258,-129461.46823336607,2038.7500000000002,57832.822826232215,-129485.54576596829,2038.7500000000002,-0.1534,0.1155,119997,48064
4,UTS,IMG,6746,109,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event06746\PL109,1.0003496113083032,0.0015497917860907678,-0.001999545770195621,1.0005406081611394,-56247.949211180945,-176930.27894495896,200,0.5,0.14,210,70,63762.310036756244,-129926.18221142328,2044,63794.118567867634,-129951.16533334929,2044,-0.1516,0.1186,119927,47193.4
